sample-id	Location	Type
Blank	NA	NA
DC1rizo	Deer_Creek	rhizosphere
DC1roots	Deer_Creek	roots
DC2rizo	Deer_Creek	rhizosphere
DC2roots	Deer_Creek	roots
DC3rizo	Deer_Creek	rhizosphere
DC3roots	Deer_Creek	roots
DC4rizo	Deer_Creek	rhizosphere
DC4roots	Deer_Creek	roots
DC5rizo	Deer_Creek	rhizosphere
DC5roots	Deer_Creek	roots
DH1rizo	Danny_Hole	rhizosphere
DH1roots	Danny_Hole	roots
DH2rizo	Danny_Hole	rhizosphere
DH2roots	Danny_Hole	roots
DH3rizo	Danny_Hole	rhizosphere
DH3roots	Danny_Hole	roots
DH4rizo	Danny_Hole	rhizosphere
DH4roots	Danny_Hole	roots
DH5rizo	Danny_Hole	rhizosphere
DH5roots	Danny_Hole	roots
EO24-1rizo	Tiger_Bay_State_Forest	rhizosphere
EO24-1roots	Tiger_Bay_State_Forest	roots
EO24-2rizo	Tiger_Bay_State_Forest	rhizosphere
EO24-2roots	Tiger_Bay_State_Forest	roots
EO24-3rizo	Tiger_Bay_State_Forest	rhizosphere
EO24-3roots	Tiger_Bay_State_Forest	roots
EO24-4rizo	Tiger_Bay_State_Forest	rhizosphere
EO24-4roots	Tiger_Bay_State_Forest	roots
EO24-5rizo	Tiger_Bay_State_Forest	rhizosphere
EO24-5rizR	Tiger_Bay_State_Forest	rhizosphere
EO24-5roots	Tiger_Bay_State_Forest	roots
LLP1rizo	Longleaf_Pine_Preserve	rhizosphere
LLP1roots	Longleaf_Pine_Preserve	roots
LLP2rizo	Longleaf_Pine_Preserve	rhizosphere
LLP2roots	Longleaf_Pine_Preserve	roots
LLP3rizo	Longleaf_Pine_Preserve	rhizosphere
LLP3roots	Longleaf_Pine_Preserve	roots
LLP4rizo	Longleaf_Pine_Preserve	rhizosphere
LLP4roots	Longleaf_Pine_Preserve	roots
LLP5rizo	Longleaf_Pine_Preserve	rhizosphere
LLP5roots	Longleaf_Pine_Preserve	roots
MF1rizo	Morse_Foundation	rhizosphere
MF1roots	Morse_Foundation	roots
MF2rizo	Morse_Foundation	rhizosphere
MF2roots	Morse_Foundation	roots
MF3rizo	Morse_Foundation	rhizosphere
MF3roots	Morse_Foundation	roots
MF4rizo	Morse_Foundation	rhizosphere
MF4roots	Morse_Foundation	roots
MF5rizo	Morse_Foundation	rhizosphere
MF5roots	Morse_Foundation	roots
N1rizo	Neibling	rhizosphere
N1roots	Neibling	roots
N2rizo	Neibling	rhizosphere
N2roots	Neibling	roots
N3rizo	Neibling	rhizosphere
N3roots	Neibling	roots
N4rizo	Neibling	rhizosphere
N4roots	Neibling	roots
N5rizo	Neibling	rhizosphere
N5roots	Neibling	roots
NP3-1	Tiger_Bay	Pbulk
NP3-2	Tiger_Bay	Pbulk
NP3-3	Tiger_Bay	Pbulk
NP3-4	Tiger_Bay	Pbulk
NP3-5	Tiger_Bay	Pbulk
NP4-1	Tiger_Bay	Npbulk
NP4-2	Tiger_Bay	Npbulk
NP4-3	Tiger_Bay	Npbulk
NP4-4	Tiger_Bay	Npbulk
NP4-5	Tiger_Bay	Npbulk
NP4-5R	Tiger_Bay	Pbulk
